[1461207756] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.130ms, lost 0%
[1461208419] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;CRITICAL;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461208419] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;CRITICAL;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461208476] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 314.614ms, lost 0%
[1461208476] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 314.614ms, lost 0%
[1461209616] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 315.770ms, lost 0%
[1461209616] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 315.770ms, lost 0%
[1461209616] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 315.770ms, lost 0%
[1461209617] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 315.770ms, lost 0%
[1461237936] HOST NOTIFICATION: Techwave;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461237936] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461237997] HOST NOTIFICATION: Techwave;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.541ms, lost 0%
[1461237997] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.541ms, lost 0%
[1461238056] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.609ms, lost 0%
[1461238056] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.609ms, lost 0%
[1461296499] HOST NOTIFICATION: Techwave;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461296499] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461296560] HOST NOTIFICATION: Techwave;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 314.901ms, lost 0%
[1461296560] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 314.901ms, lost 0%
[1461296616] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 314.890ms, lost 0%
[1461296616] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 314.890ms, lost 0%
[1461304299] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;CRITICAL;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461304299] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;CRITICAL;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461304303] HOST NOTIFICATION: Techwave;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461304303] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461304371] HOST NOTIFICATION: Techwave;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.390ms, lost 0%
[1461304371] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.390ms, lost 0%
[1461304416] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.426ms, lost 0%
[1461304416] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.426ms, lost 0%
[1461313158] HOST NOTIFICATION: Techwave;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461313158] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461313283] HOST NOTIFICATION: Techwave;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.487ms, lost 0%
[1461313283] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.487ms, lost 0%
[1461313296] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.494ms, lost 0%
[1461313296] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.494ms, lost 0%
[1461329139] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;CRITICAL;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461329139] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;CRITICAL;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461329143] HOST NOTIFICATION: Techwave;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461329143] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461329203] HOST NOTIFICATION: Techwave;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.127ms, lost 0%
[1461329203] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.127ms, lost 0%
[1461329256] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.411ms, lost 0%
[1461329256] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.411ms, lost 0%
[1461341467] HOST NOTIFICATION: Techwave;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461341467] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461359064] HOST NOTIFICATION: Techwave;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.105ms, lost 0%
[1461359064] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.105ms, lost 0%
[1461359076] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.123ms, lost 0%
[1461359076] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.123ms, lost 0%
[1461362534] SERVICE NOTIFICATION: Techwave;win1003539.cas1.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 357.508ms, lost 0%
[1461362534] SERVICE NOTIFICATION: mkeventd;win1003539.cas1.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 357.508ms, lost 0%
[1461362607] HOST NOTIFICATION: Techwave;win14760.sg13.isb.edu;DOWN;mail;CRITICAL - 208.43.81.36: rta nan, lost 100%
[1461362607] HOST NOTIFICATION: mkeventd;win14760.sg13.isb.edu;DOWN;mail;CRITICAL - 208.43.81.36: rta nan, lost 100%
[1461362652] SERVICE NOTIFICATION: Techwave;win13540.cas1.isb.edu;PING;WARNING;mail;WARNING - 173.193.209.195: rta 309.715ms, lost 0%
[1461362652] SERVICE NOTIFICATION: mkeventd;win13540.cas1.isb.edu;PING;WARNING;mail;WARNING - 173.193.209.195: rta 309.715ms, lost 0%
[1461362658] SERVICE NOTIFICATION: Techwave;win14758.sg13.isb.edu;PING;WARNING;mail;WARNING - 173.193.222.199: rta 286.646ms, lost 0%
[1461362658] SERVICE NOTIFICATION: mkeventd;win14758.sg13.isb.edu;PING;WARNING;mail;WARNING - 173.193.222.199: rta 286.646ms, lost 0%
[1461362670] SERVICE NOTIFICATION: Techwave;win230.vhostdns.com;PING;WARNING;mail;WARNING - 208.43.81.38: rta 334.475ms, lost 0%
[1461362670] SERVICE NOTIFICATION: mkeventd;win230.vhostdns.com;PING;WARNING;mail;WARNING - 208.43.81.38: rta 334.475ms, lost 0%
[1461362779] SERVICE NOTIFICATION: Techwave;ISBEventssrv.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.41: rta 321.416ms, lost 0%
[1461362779] SERVICE NOTIFICATION: mkeventd;ISBEventssrv.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.41: rta 321.416ms, lost 0%
[1461362857] SERVICE NOTIFICATION: Techwave;firewall-vlan1838.networklayer.com;PING;WARNING;mail;WARNING - 67.228.207.220: rta 266.013ms, lost 0%
[1461362857] SERVICE NOTIFICATION: mkeventd;firewall-vlan1838.networklayer.com;PING;WARNING;mail;WARNING - 67.228.207.220: rta 266.013ms, lost 0%
[1461363690] SERVICE NOTIFICATION: Techwave;ISBSNGSRV1.isb.edu;PING;WARNING;mail;WARNING - 119.81.17.213: rta 106.444ms, lost 40%
[1461363690] SERVICE NOTIFICATION: mkeventd;ISBSNGSRV1.isb.edu;PING;WARNING;mail;WARNING - 119.81.17.213: rta 106.444ms, lost 40%
[1461363747] SERVICE NOTIFICATION: Techwave;ISBSNGSRV1.isb.edu;PING;OK;mail;OK - 119.81.17.213: rta 67.986ms, lost 0%
[1461363747] SERVICE NOTIFICATION: mkeventd;ISBSNGSRV1.isb.edu;PING;OK;mail;OK - 119.81.17.213: rta 67.986ms, lost 0%
[1461363990] SERVICE NOTIFICATION: Techwave;ISBSNGSRV1.isb.edu;PING;WARNING;mail;WARNING - 119.81.17.213: rta 101.594ms, lost 40%
[1461363990] SERVICE NOTIFICATION: mkeventd;ISBSNGSRV1.isb.edu;PING;WARNING;mail;WARNING - 119.81.17.213: rta 101.594ms, lost 40%
[1461364001] SERVICE NOTIFICATION: Techwave;server3.isb.edu;PING;WARNING;mail;WARNING - 119.81.48.202: rta 101.042ms, lost 60%
[1461364001] SERVICE NOTIFICATION: mkeventd;server3.isb.edu;PING;WARNING;mail;WARNING - 119.81.48.202: rta 101.042ms, lost 60%
[1461364047] SERVICE NOTIFICATION: Techwave;ISBSNGSRV1.isb.edu;PING;OK;mail;OK - 119.81.17.213: rta 108.220ms, lost 0%
